Method,Endpoint Path,Handler Function,Request Body Type,Response Type,Status Codes,Description,Example Request,Example Response,Notes
GET,/questions/:id,GetQuestion,None,QuestionData JSON,200 | 404 | 500,Get specific question by ID,None,"{""id"": ""question_1758576900"", ""content"": ""How does traffic light..."", ...}",404 if not found
PUT,/questions/:id,UpdateQuestion,QuestionData JSON,QuestionData JSON,200 | 400 | 404 | 500,Update question by ID,"{""content"": ""Updated question?"", ""status"": ""resolved""}","{""id"": ""question_1758576900"", ""content"": ""Updated question?"", ...}",Updates UpdatedAt timestamp
DELETE,/questions/:id,DeleteQuestion,None,Status message,200 | 404 | 500,Delete question by ID,None,"{""message"": ""Question deleted successfully""}",Also deletes related relationships

POST,/causal-links,CreateCausalLink,CausalLink JSON,CausalLink JSON,201 | 400 | 500,Create a new causal link,"{""from_id"": ""flow_1758576873"", ""from_type"": ""Flow"", ""to_id"": ""stock_1758576860"", ""to_type"": ""Stock"", ""polarity"": 1.0, ""confidence"": 0.8}","{""from_id"": ""flow_1758576873"", ""from_type"": ""Flow"", ...}",Links between entities
GET,/causal-links,GetCausalLinks,None,Array of CausalLink JSON,200 | 500,Get all causal links,None,"[{""from_id"": ""flow_1758576873"", ""from_type"": ""Flow"", ...}]",Returns array even if empty
DELETE,/causal-links,DeleteCausalLink,CausalLink JSON,Status message,200 | 400 | 404 | 500,Delete specific causal link,"{""from_id"": ""flow_1758576873"", ""from_type"": ""Flow"", ""to_id"": ""stock_1758576860"", ""to_type"": ""Stock""}","{""message"": ""Causal link deleted successfully""}",Requires exact match for deletion

POST,/describes,CreateDescribes,Describes JSON,Describes JSON,201 | 400 | 500,Create narrative-system relationship,"{""narrative_id"": ""narrative_1758576819"", ""system_id"": ""system_1758576829""}","{""narrative_id"": ""narrative_1758576819"", ""system_id"": ""system_1758576829""}",Links narrative to system
GET,/describes,GetDescribes,None,Array of Describes JSON,200 | 500,Get all narrative-system relationships,None,"[{""narrative_id"": ""narrative_1758576819"", ""system_id"": ""system_1758576829""}]",Returns array even if empty
DELETE,/describes,DeleteDescribes,Describes JSON,Status message,200 | 400 | 404 | 500,Delete narrative-system relationship,"{""narrative_id"": ""narrative_1758576819"", ""system_id"": ""system_1758576829""}","{""message"": ""Describes relationship deleted successfully""}",Requires exact match for deletion

POST,/constitutes,CreateConstitutes,Constitutes JSON,Constitutes JSON,201 | 400 | 500,Create system-subsystem relationship,"{""subsystem_id"": ""system_1758576900"", ""system_id"": ""system_1758576829""}","{""subsystem_id"": ""system_1758576900"", ""system_id"": ""system_1758576829""}",Links subsystem to parent system
GET,/constitutes,GetConstitutes,None,Array of Constitutes JSON,200 | 500,Get all system-subsystem relationships,None,"[{""subsystem_id"": ""system_1758576900"", ""system_id"": ""system_1758576829""}]",Returns array even if empty
DELETE,/constitutes,DeleteConstitutes,Constitutes JSON,Status message,200 | 400 | 404 | 500,Delete system-subsystem relationship,"{""subsystem_id"": ""system_1758576900"", ""system_id"": ""system_1758576829""}","{""message"": ""Constitutes relationship deleted successfully""}",Requires exact match for deletion

POST,/describes-static,CreateDescribesStatic,DescribesStatic JSON,DescribesStatic JSON,201 | 400 | 500,Create stock-system relationship,"{""stock_id"": ""stock_1758576860"", ""system_id"": ""system_1758576829""}","{""stock_id"": ""stock_1758576860"", ""system_id"": ""system_1758576829""}",Links stock to system
GET,/describes-static,GetDescribesStatic,None,Array of DescribesStatic JSON,200 | 500,Get all stock-system relationships,None,"[{""stock_id"": ""stock_1758576860"", ""system_id"": ""system_1758576829""}]",Returns array even if empty
DELETE,/describes-static,DeleteDescribesStatic,DescribesStatic JSON,Status message,200 | 400 | 404 | 500,Delete stock-system relationship,"{""stock_id"": ""stock_1758576860"", ""system_id"": ""system_1758576829""}","{""message"": ""DescribesStatic relationship deleted successfully""}",Requires exact match for deletion

POST,/describes-dynamic,CreateDescribesDynamic,DescribesDynamic JSON,DescribesDynamic JSON,201 | 400 | 500,Create flow-system relationship,"{""flow_id"": ""flow_1758576873"", ""system_id"": ""system_1758576829""}","{""flow_id"": ""flow_1758576873"", ""system_id"": ""system_1758576829""}",Links flow to system
GET,/describes-dynamic,GetDescribesDynamic,None,Array of DescribesDynamic JSON,200 | 500,Get all flow-system relationships,None,"[{""flow_id"": ""flow_1758576873"", ""system_id"": ""system_1758576829""}]",Returns array even if empty
DELETE,/describes-dynamic,DeleteDescribesDynamic,DescribesDynamic JSON,Status message,200 | 400 | 404 | 500,Delete flow-system relationship,"{""flow_id"": ""flow_1758576873"", ""system_id"": ""system_1758576829""}","{""message"": ""DescribesDynamic relationship deleted successfully""}",Requires exact match for deletion

POST,/changes,CreateChanges,Changes JSON,Changes JSON,201 | 400 | 500,Create flow-stock change relationship,"{""flow_id"": ""flow_1758576873"", ""stock_id"": ""stock_1758576860"", ""polarity"": 1.0}","{""flow_id"": ""flow_1758576873"", ""stock_id"": ""stock_1758576860"", ""polarity"": 1.0}",Links flow to stock with polarity
GET,/changes,GetChanges,None,Array of Changes JSON,200 | 500,Get all flow-stock change relationships,None,"[{""flow_id"": ""flow_1758576873"", ""stock_id"": ""stock_1758576860"", ""polarity"": 1.0}]",Returns array even if empty
DELETE,/changes,DeleteChanges,Changes JSON,Status message,200 | 400 | 404 | 500,Delete flow-stock change relationship,"{""flow_id"": ""flow_1758576873"", ""stock_id"": ""stock_1758576860""}","{""message"": ""Changes relationship deleted successfully""}",Requires exact match for deletion
